,LSOA2011,income score,employment score,"education, skills and training score",barriers to housing and services score
0,E01000001,0.007,0.01,0.024,29.472
1,E01000002,0.034,0.027,0.063,24.412
2,E01000003,0.086,0.086,5.804,40.103
3,E01000005,0.211,0.136,22.26,39.9
4,E01000006,0.117,0.059,14.798,45.171
5,E01000007,0.207,0.107,11.385,50.42
6,E01000008,0.265,0.151,25.506,45.413
7,E01000009,0.187,0.109,15.713,48.119
8,E01000010,0.169,0.073,11.762,50.58
9,E01000011,0.167,0.081,22.519,52.948
10,E01000012,0.239,0.096,19.774,56.507
11,E01000013,0.213,0.145,24.003,45.252
12,E01000014,0.201,0.135,31.501,46.135
13,E01000015,0.216,0.123,26.013,50.4
14,E01000016,0.199,0.122,28.996,43.772
15,E01000017,0.25,0.169,22.899,45.929
16,E01000018,0.212,0.136,26.358,43.512
17,E01000019,0.194,0.138,26.111,41.248
18,E01000020,0.216,0.131,24.184,43.518
19,E01000021,0.23,0.136,31.637,45.544
20,E01000022,0.195,0.139,27.111,44.277
21,E01000023,0.228,0.108,22.994,45.846
22,E01000024,0.155,0.1,29.298,45.704
23,E01000025,0.219,0.138,25.691,47.029
24,E01000027,0.216,0.146,38.122,44.976
25,E01000028,0.26,0.155,27.699,48.625
26,E01000029,0.113,0.075,17.349,47.51
27,E01000030,0.264,0.162,38.753,44.592
28,E01000031,0.126,0.075,12.953,34.14
29,E01000032,0.146,0.106,23.035,39.922
30,E01000033,0.257,0.136,32.037,55.686
31,E01000034,0.216,0.147,33.858,45.083
32,E01000035,0.15,0.092,25.536,39.025
33,E01000036,0.112,0.073,15.969,31.724
34,E01000037,0.096,0.101,20.288,29.715
35,E01000038,0.127,0.079,18.702,27.945
36,E01000039,0.127,0.074,19.753,42.779
37,E01000040,0.218,0.123,31.332,45.801
38,E01000041,0.172,0.105,33.867,48.606
39,E01000042,0.263,0.164,31.45,57.015
40,E01000043,0.147,0.085,28.946,42.921
41,E01000044,0.133,0.079,22.263,42.638
42,E01000045,0.188,0.125,24.013,44.514
43,E01000046,0.17,0.111,28.185,45.338
44,E01000048,0.341,0.182,26.49,49.012
45,E01000049,0.29,0.143,27.852,55.298
46,E01000050,0.176,0.114,22.642,48.003
47,E01000051,0.234,0.13,28.197,45.996
48,E01000052,0.188,0.111,27.403,51.774
49,E01000053,0.229,0.126,27.703,49.479
50,E01000054,0.18,0.096,26.697,42.507
51,E01000055,0.211,0.114,27.143,43.185
52,E01000056,0.197,0.144,25.304,51.736
53,E01000057,0.196,0.118,31.462,43.725
54,E01000058,0.199,0.117,25.845,46.251
55,E01000059,0.176,0.129,28.14,45.241
56,E01000060,0.202,0.129,25.54,48.53
57,E01000061,0.303,0.186,39.776,49.627
58,E01000062,0.143,0.088,30.73,45.088
59,E01000063,0.181,0.124,37.624,41.886
60,E01000064,0.208,0.13,24.438,50.054
61,E01000065,0.228,0.173,26.185,47.453
62,E01000066,0.147,0.097,18.294,50.656
63,E01000067,0.132,0.066,15.99,42.456
64,E01000068,0.123,0.075,16.187,41.502
65,E01000069,0.087,0.07,16.481,31.781
66,E01000070,0.11,0.077,14.434,35.596
67,E01000071,0.13,0.058,14.114,40.981
68,E01000072,0.241,0.138,34.242,46.957
69,E01000073,0.209,0.135,35.14,43.442
70,E01000074,0.234,0.128,32.398,47.408
71,E01000075,0.196,0.118,36.347,44.869
72,E01000076,0.208,0.148,36.193,49.87
73,E01000077,0.251,0.159,33.494,44.143
74,E01000078,0.228,0.128,33.668,44.311
75,E01000079,0.227,0.141,24.526,48.007
76,E01000080,0.19,0.146,26.379,45.385
77,E01000081,0.162,0.116,30.952,43.718
78,E01000082,0.158,0.113,31.053,43.176
79,E01000083,0.196,0.134,27.072,44.245
80,E01000084,0.229,0.141,36.839,43.432
81,E01000085,0.189,0.124,36.259,46.139
82,E01000086,0.218,0.142,28.503,42.757
83,E01000087,0.226,0.131,27.171,48.565
84,E01000088,0.147,0.1,20.313,44.005
85,E01000089,0.156,0.092,25.246,47.254
86,E01000090,0.169,0.091,22.024,45.475
87,E01000091,0.256,0.175,32.562,48.266
88,E01000092,0.215,0.106,18.788,61.059
89,E01000093,0.26,0.169,27.955,49.657
90,E01000094,0.167,0.094,10.866,64.961
91,E01000095,0.196,0.095,22.314,63.151
92,E01000096,0.259,0.135,34.307,48.317
93,E01000097,0.223,0.131,32.926,47.096
94,E01000098,0.239,0.159,31.389,43.482
95,E01000099,0.174,0.105,25.037,47.111
96,E01000100,0.16,0.117,29.622,42.938
97,E01000101,0.254,0.154,28.988,43.29
98,E01000102,0.275,0.175,23.976,44.376
99,E01000103,0.18,0.113,26.208,50.872
100,E01000104,0.222,0.134,31.664,50.107
101,E01000105,0.246,0.165,36.132,47.24
102,E01000106,0.275,0.167,27.219,51.428
103,E01000107,0.151,0.095,29.324,44.429
104,E01000108,0.171,0.104,20.596,41.045
105,E01000109,0.12,0.084,22.485,39.755
106,E01000110,0.112,0.078,12.848,32.872
107,E01000111,0.174,0.111,20.878,44.339
108,E01000112,0.129,0.065,18.969,43.159
109,E01000113,0.152,0.081,16.983,42.208
110,E01000114,0.119,0.074,19.124,40.755
111,E01000115,0.055,0.046,3.734,17.004
112,E01000116,0.074,0.049,3.87,19.173
113,E01000117,0.071,0.062,6.077,21.506
114,E01000118,0.077,0.059,8.59,22.339
115,E01000119,0.078,0.054,3.312,23.519
116,E01000120,0.061,0.036,4.436,18.977
117,E01000121,0.262,0.194,22.583,37.522
118,E01000122,0.071,0.055,2.257,30.659
119,E01000123,0.075,0.049,8.519,34.632
120,E01000124,0.166,0.128,14.674,30.587
121,E01000125,0.179,0.088,23.785,45.911
